DATE,precip,humidity,wind_speed,sea_pressure,min_temp,rain
2019-04-05T23:59:00,0.06,75.0,5.9,30.04,56.0,1
2022-01-15T23:59:00,0.03,62.0,3.0,30.13,52.0,1
2016-06-01T23:59:00,0.005,76.0,4.5,29.93,61.0,1
2023-03-26T23:59:00,0.0,60.0,5.1,30.12,48.0,0
2023-10-23T23:59:00,0.005,75.0,6.5,29.8,62.0,1
2022-01-30T23:59:00,0.0,67.0,2.9,30.15,42.0,0
2020-01-05T23:59:00,0.0,82.0,2.6,30.26,47.0,0
2021-02-15T23:59:00,0.005,69.0,4.8,30.05,49.0,1
2020-06-03T23:59:00,0.0,71.0,7.2,29.9,66.0,0
2022-09-30T23:59:00,0.0,74.0,5.5,29.89,67.0,0
2017-05-07T23:59:00,0.79,80.0,9.0,29.9,53.0,1
2017-02-09T23:59:00,0.0,84.0,5.3,30.04,57.0,0
2019-10-25T23:59:00,0.0,43.0,3.3,29.94,60.0,0
2022-09-04T23:59:00,0.005,61.0,6.5,29.83,78.0,1
2023-08-21T23:59:00,0.02,80.0,5.7,29.99,65.0,1
2024-04-05T23:59:00,0.11,61.0,11.9,30.03,52.0,1
2023-09-18T23:59:00,0.005,75.0,6.0,29.99,66.0,1
2019-06-01T23:59:00,0.0,69.0,7.7,29.9,61.0,0
2021-03-09T23:59:00,0.005,64.0,6.9,30.18,51.0,1
2023-11-29T23:59:00,0.13,72.0,3.2,30.01,48.0,1
2021-07-24T23:59:00,0.005,71.0,5.5,30.01,70.0,1
2022-11-08T23:59:00,0.84,85.0,12.2,29.94,56.0,1
2020-03-10T23:59:00,0.35,89.0,8.9,30.03,61.0,1
2023-06-12T23:59:00,0.005,78.0,6.5,30.04,60.0,1
2024-08-11T23:59:00,0.005,76.0,4.3,29.94,70.0,1
2017-07-04T23:59:00,0.0,76.0,7.3,29.97,66.0,0
2017-07-30T23:59:00,0.0,73.0,5.1,30.03,68.0,0
2018-03-09T23:59:00,0.0,75.0,3.3,30.0,54.0,0
2021-02-20T23:59:00,0.0,66.0,3.8,30.16,48.0,0
2020-06-29T23:59:00,0.08,71.0,5.8,29.91,62.0,1
2019-11-19T23:59:00,0.11,69.0,6.6,29.72,60.0,1
2018-07-01T23:59:00,0.005,71.0,6.0,30.01,63.0,1
2023-05-07T23:59:00,0.0,66.0,4.8,30.09,55.0,0
2020-09-24T23:59:00,0.0,70.0,4.1,29.92,65.0,0
2016-11-04T23:59:00,0.0,62.0,3.2,30.06,61.0,0
2017-01-18T23:59:00,0.005,69.0,4.8,30.16,50.0,1
2017-06-03T23:59:00,0.0,85.0,4.9,29.91,63.0,0
2023-06-13T23:59:00,0.005,78.0,6.6,30.03,62.0,1
2017-01-13T23:59:00,0.35,77.0,4.7,30.04,53.0,1
2019-02-01T23:59:00,0.005,73.0,5.2,30.0,53.0,1
2016-06-03T23:59:00,0.005,79.0,4.8,29.97,62.0,1
2020-08-21T23:59:00,0.0,71.0,4.1,29.8,71.0,0
2024-09-11T23:59:00,0.0,71.0,5.8,29.8,67.0,0
2020-02-10T23:59:00,0.25,81.0,4.6,29.87,53.0,1
2019-05-07T23:59:00,0.005,65.0,7.9,30.08,61.0,1
